iter	MultiClass
0	3.088645265
1	3.015540687
2	2.935683526
3	2.867270998
4	2.797021279
5	2.744901648
6	2.697865812
7	2.627556299
8	2.586044461
9	2.5375073
10	2.502905131
11	2.474294577
12	2.444100413
13	2.413927686
14	2.378094181
15	2.349126609
16	2.324422801
17	2.298470566
18	2.271190919
19	2.252299112
20	2.23996324
21	2.22523074
22	2.202692253
23	2.188449161
24	2.170487019
25	2.155210833
26	2.134019088
27	2.115403277
28	2.10259013
29	2.085985121
30	2.072528288
31	2.056960436
32	2.048092524
33	2.038830936
34	2.025445256
35	1.996399221
36	1.986702855
37	1.9807369
38	1.972425283
39	1.958521798
40	1.949565671
41	1.938483055
42	1.932803172
43	1.920511409
44	1.905052614
45	1.89627433
46	1.883244862
47	1.875961191
48	1.862063448
49	1.846401654
50	1.831532198
51	1.822971553
52	1.808285511
53	1.796533287
54	1.777858263
55	1.762259314
56	1.756313139
57	1.751015235
58	1.732508967
59	1.723195252
60	1.710231948
61	1.688437034
62	1.670406772
63	1.652962968
64	1.646721986
65	1.640825664
66	1.629936572
67	1.62249997
68	1.60059517
69	1.592967396
70	1.584953696
71	1.576085167
72	1.560720907
73	1.540006845
74	1.527521585
75	1.514514497
76	1.508228976
77	1.502874313
78	1.493242447
79	1.48124989
80	1.470402191
81	1.465505759
82	1.457667846
83	1.444523766
84	1.436343574
85	1.425509552
86	1.395900579
87	1.38820698
88	1.365773885
89	1.347157414
90	1.336536547
91	1.329699349
92	1.310571625
93	1.302101049
94	1.280898915
95	1.272744049
96	1.263781526
97	1.244512135
98	1.241604669
99	1.236024492
