iter	Passed	Remaining
0	877	86872
1	1965	96326
2	3592	116162
3	4492	107829
4	5680	107929
5	6201	97159
6	6998	92979
7	7483	86056
8	8206	82981
9	8717	78460
10	9597	77651
11	10565	77478
12	11076	74126
13	11953	73426
14	12841	72769
15	13808	72496
16	14619	71376
17	15139	68970
18	16219	69147
19	16669	66677
20	17262	64938
21	17720	62828
22	18170	60831
23	18666	59110
24	19300	57902
25	19802	56361
26	20320	54939
27	20772	53415
28	21224	51964
29	21678	50582
30	21933	48818
31	22383	47564
32	22829	46350
33	23280	45191
34	23727	44064
35	24181	42989
36	24658	41985
37	25103	40957
38	25629	40087
39	26075	39113
40	26516	38158
41	26973	37249
42	27595	36579
43	28181	35866
44	28885	35304
45	29622	34774
46	30231	34090
47	30675	33232
48	31147	32418
49	31773	31773
50	32479	31205
51	33024	30484
52	33885	30049
53	34499	29388
54	34949	28594
55	35397	27812
56	35929	27104
57	36487	26422
58	37307	25925
59	37945	25297
60	38392	24546
61	38975	23888
62	39592	23252
63	40281	22658
64	40791	21964
65	41262	21256
66	41860	20617
67	42311	19911
68	42851	19252
69	43364	18584
70	43809	17894
71	44408	17269
72	44968	16632
73	45463	15973
74	46114	15371
75	46604	14717
76	47053	14054
77	47510	13400
78	48026	12766
79	48540	12135
80	49035	11502
81	49494	10864
82	49940	10228
83	50382	9596
84	50820	8968
85	51262	8345
86	51712	7727
87	52149	7111
88	52587	6499
89	53025	5891
90	53544	5295
91	54152	4708
92	54700	4117
93	55644	3551
94	56885	2993
95	57945	2414
96	59214	1831
97	60186	1228
98	61246	618
99	63343	0
